date,start,high,stable,end
2007/4/1,117.84,119.86,117.46,119.52
2007/5/1,119.47,121.98,119.08,121.72
2007/6/1,121.71,124.14,120.78,123.12
2007/7/1,123.12,123.66,118.03,118.62
2007/8/1,118.62,119.84,111.62,115.81
2007/9/1,115.91,116.47,112.71,114.87
2007/10/1,114.84,117.94,113.26,115.22
2007/11/1,115.22,115.93,107.22,111.12
2007/12/1,110.97,114.64,109.57,113.04
2008/1/1,111.72,111.91,104.97,106.44
2008/2/1,106.43,108.61,103.8,103.89
2008/3/1,103.21,104.18,95.79,99.69
2008/4/1,99.69,104.88,99.61,103.92
2008/5/1,103.87,105.88,102.58,105.42
2008/6/1,105.41,108.58,103.89,106.22
2008/7/1,106.22,108.38,103.78,107.91
2008/8/1,107.91,110.66,107.28,108.81
2008/9/1,108.43,109.17,103.56,106.12
2008/10/1,106.12,106.53,90.92,98.5
2008/11/1,98.28,100.55,93.56,95.56
2008/12/1,95.55,95.56,87.16,90.81
2009/1/1,90.9,94.62,87.17,89.84
2009/2/1,89.69,98.71,88.6,97.59
2009/3/1,97.66,99.68,93.55,98.97
2009/4/1,98.95,101.43,95.62,98.64
2009/5/1,98.64,99.74,93.83,95.27
2009/6/1,95.26,98.86,94.44,96.33
2009/7/1,96.33,96.96,91.69,94.64
2009/8/1,94.79,97.75,92.53,93.11
2009/9/1,93.11,93.43,88.2,89.69
2009/10/1,89.69,92.3,87.99,90.01
2009/11/1,89.59,91.3,84.79,86.34
2009/12/1,86.34,92.75,86.14,92.71
2010/1/1,92.71,93.74,89.12,90.26
2010/2/1,90.12,92.12,88.55,88.86
2010/3/1,88.88,93.6,88.11,93.4
2010/4/1,93.4,94.69,91.58,93.94
2010/5/1,94.02,94.97,87.97,91.23
2010/6/1,91.23,92.85,88.26,88.45
2010/7/1,88.45,89.13,85.93,86.4
2010/8/1,86.4,86.85,83.56,84.18
2010/9/1,84.18,85.9,82.87,83.48
2010/10/1,83.48,83.99,80.4,80.47
2010/11/1,80.35,84.37,80.3,83.65
2010/12/1,83.65,84.48,81.22,81.23
2011/1/1,81.12,83.66,81.1,82.04
2011/2/1,82.04,83.96,81.1,81.76
2011/3/1,81.76,83.26,76.57,83.17
2011/4/1,83.17,85.49,81.04,81.11
2011/5/1,81.07,82.2,79.53,81.5
2011/6/1,81.5,81.53,79.67,80.54
2011/7/1,80.54,81.44,76.88,76.98
2011/8/1,77.41,80.21,75.92,76.63
2011/9/1,76.54,77.84,76.1,77.13
2011/10/1,77.1,79.52,75.57,78.16
2011/11/1,78.12,78.96,76.57,77.57
2011/12/1,77.56,78.19,76.9,76.92
2012/1/1,76.89,78.25,76.14,76.24
2012/2/1,76.22,81.61,76,81.15
2012/3/1,81.2,84.17,80.58,82.83
2012/4/1,82.8,83.27,79.73,79.8
2012/5/1,79.77,80.58,78.18,78.3
2012/6/1,78.33,80.59,77.57,79.83
2012/7/1,79.96,80.06,77.94,78.11
2012/8/1,78.11,79.63,77.9,78.32
2012/9/1,78.32,79.19,77.08,77.95
2012/10/1,77.94,80.36,77.78,79.74
2012/11/1,79.75,82.8,79.07,82.43
2012/12/1,82.42,86.61,81.72,86.35
2013/1/1,86.66,91.39,86.52,91.35
2013/2/1,91.78,94.46,90.88,92.52
2013/3/1,92.63,96.68,92.43,94.18
2013/4/1,94.17,99.91,92.56,97.39
2013/5/1,97.38,103.71,97.02,100.37
2013/6/1,100.54,100.69,93.79,99.14
2013/7/1,99.36,101.49,97.59,97.88
2013/8/1,97.78,99.96,95.8,98.17
2013/9/1,98.24,100.57,97.5,98.21
2013/10/1,98.27,98.97,96.58,98.35
2013/11/1,98.33,102.57,97.64,102.41
2013/12/1,102.44,105.37,101.63,105.23
2014/1/1,105.26,105.41,101.84,102.04
2014/2/1,102.09,102.79,100.75,101.83
2014/3/1,101.65,103.72,101.2,103.19
2014/4/1,103.2,104.09,101.33,102.2
2014/5/1,102.2,102.98,100.82,101.77
2014/6/1,101.79,102.76,101.24,101.31
2014/7/1,101.31,103.04,101.07,102.78
2014/8/1,102.79,104.23,101.51,104.07
2014/9/1,104.07,109.81,104.06,109.64
2014/10/1,109.64,112.46,105.2,112.33
2014/11/1,112.96,118.96,112.58,118.66
2014/12/1,118.73,121.81,115.57,119.84
2015/1/1,119.71,120.7,115.85,117.48
2015/2/1,117.24,120.44,116.88,119.63
2015/3/1,119.72,122.01,118.33,120.1
2015/4/1,120.02,120.8,118.43,119.36
2015/5/1,119.37,124.43,118.89,124.1
2015/6/1,124.11,125.86,121.9,122.46
2015/7/1,122.44,124.54,120.42,123.93
2015/8/1,123.98,125.24,116.14,121.22
2015/9/1,121.25,121.28,118.47,119.9
2015/10/1,119.86,121.46,118.06,120.62
2015/11/1,120.58,123.71,120.26,123.09
2015/12/1,123.07,123.63,119.98,120.21
2016/1/1,120.21,121.66,115.95,121.02
2016/2/1,121.21,121.46,110.96,112.69
2016/3/1,112.38,114.51,110.67,112.59
2016/4/1,112.6,112.6,106.25,106.39
2016/5/1,106.69,111.41,105.55,110.74
2016/6/1,110.71,110.79,98.76,103.23
2016/7/1,103.25,107.48,99.97,102.1
2016/8/1,102.39,103.49,99.41,103.45
2016/9/1,103.4,104.29,100.11,101.44
2016/10/1,101.35,105.49,101.19,104.85
2016/11/1,104.8,114.51,101.18,114.49
2016/12/1,114.4,118.65,112.87,116.99
2017/1/1,117.33,118.59,112.08,112.82
2017/2/1,112.85,114.94,111.6,112.76
2017/3/1,112.83,115.49,110.09,111.39
2017/4/1,111.38,111.74,108.13,111.47
2017/5/1,111.4,114.33,110.24,110.75
2017/6/1,110.75,112.89,108.67,112.46
2017/7/1,112.32,114.46,110.22,110.27
2017/8/1,110.24,111.01,108.27,109.99
2017/9/1,109.94,113.23,107.3,112.52
2017/10/1,112.56,114.41,111.57,113.64
2017/11/1,113.65,114.69,110.8,112.54
2017/12/1,112.56,113.71,111.41,112.65
2018/1/1,112.62,113.36,108.28,109.19
2018/2/1,109.22,110.44,105.5,106.69
2018/3/1,106.67,107.25,104.58,106.27
2018/4/1,106.27,109.52,105.62,109.33
2018/5/1,109.28,111.35,108.12,108.79
2018/6/1,108.78,110.9,108.73,110.68
2018/7/1,110.68,113.16,110.29,111.89
2018/8/1,111.82,112.11,109.78,111.09
2018/9/1,111.07,113.69,110.37,113.69
2018/10/1,113.69,114.51,111.38,112.99
2018/11/1,112.96,114.16,112.29,112.89